speaker,q&a,content
Operator,1,Next we'll hear from Scott Berg with Needham.
Scott Berg,1,"Let's start with the R&D investments; Dan, I know you spoke a lot about them over the last couple of times that we've had discussions and they were obviously key to some increased spending on the Q2 call, yet your non-GAAP R&D results are actually flat quarter-over-quarter. I guess when should we expect those investments to hit because I would have expected that going over the step-up or have they already hit and they are just part of some of the new cost containment efforts?"
Dan Goldsmith,1,"Scott, we've got -- there is a lot of moving parts, it's not quite as simple. We've been talking about making incremental investments on the Bridge side, but that doesn't mean we haven't found opportunities to save money on the Canvas side. And again, the other thing that's a little bit technical is, there is a little bit more money sitting in the cash flow statement that got pulled off the P&L as we capitalized software. So the numbers are little bit higher than it looks like if we just stare at the P&L."
Scott Berg,1,"And then Josh, you called on a number of good quality Bridge wins in the quarter; if you look at the total number of deals that you've closed throughout so far year-to-date in 2018, how is that compared versus your expectations for Bridge sales that have a broader kind of a suite sale with either practice or the performance management product?"
Josh Coates,1,"I think because we've just started to be able to share more of a suite story, I don't think at the beginning of the year we really, frankly tabulated this -- an estimate about what that would be. I think where we really start to getting traction actually is when Dan came in and said, from an outsiders perspective, let me come in and help really rewrite this script to make sense at this Bridge suite approach and we've seen pretty incredible uptake since then. And like I've mentioned before, the first half of next year will be announced in a couple of more modules to make that Bridge suite story even stronger."
Dan Goldsmith,1,We're still sort of seeing that motion not only in terms of adoption of the Bridge suite and those products but we're also developing more of a muscle around sort of that upsell/cross-sell. So how do we develop a foothold in the account and then how quickly do things progress from there; obviously there has been some key wins in this quarter Vivint is a great example where we've seen both expansion and cross-sell within the environment that is helping to extend that story.
Operator,1,Next we'll hear from Brian Schwartz with Oppenheimer.
Unidentified Analyst,1,"Just a quick question on the add-on products for Canvas, the Arc and Gauge products; and for Bridge, the pro forma practice -- just curious to hear how the tax rate has been overall for these add-ons? And maybe, if you could, have you seen any unexpected adoption of these products by either customers or even industries that you haven't originally targeted for these products that maybe have brought some upside to numbers in the quarter? Thanks."
Josh Coates,1,"There is a few sort of elements in that question, let me try and piece it apart so you can understand. On the edgy side with Canvas, when we think about when we think about Arc and Gauge; with Arc we're seeing across the board, both with Canvas and with Bridge, great attachment rate. I think that's hitting the market in the right way and the need for video-based capabilities within inside of these solution sourcing Arc attached to a great number of deals, and that's expanding the size of those deals as well as making us more competitive both on the Canvas and the Bridge side.
With Gauge, and we've mentioned this before; we had a bit of a missed steps sort of coming into this year. We built the product, we did all of the right things from an approach perspective and designed the product but we sort of mis-estimated what would be needed to accelerate in the market, pull back a little bit on Gauge and we're going to be ready for 2019 with Gauge to be driving more sales around that market. So good market, we'll be ready with the product coming into 2019 to go broader with Gauge, so that's underperformed expectations around how we're growing Gauge.
Now with Bridge, again, it's around the suite story. What we're looking for is the attachment, both on initial deals and sort of cross-sell across the Bridge suite. To your question, are we seeing increased deal size and are we seeing acceleration from a financials perspective? We're definitely seeing increases in deal size but I think more so what you should pay attention to around the Bridge suite and elements like practice and performance, some of the announcements we have upcoming with new products is our ability to compete more with larger organizations as a foothold in it's account and then expanding from there."
Operator,1,Next we'll hear from Corey Greendale with First Analysis.
Corey Greendale,1,First question on the competitive front when you've lifted the wins for Bridge; it seemed like there was disproportionate number where there were Cornerstone replacement. Is that representative of all of the Bridge wins in the quarter? And if you just comment on sort of what your -- if there is a theme to what you're winning on if it's features in how much price -- higher pricing relative to Cornerstone?
Josh Coates,1,"We're definitely seeing more wins against the larger competitors in the field, Cornerstone of course being one of them, Oracle, Learning management, also SAP; and I think that's indicative of us getting higher up in the market, attaching to larger opportunities and winning those. And also correlated with that is our ability to sell more of a suite, I think a year ago -- two years ago we're just selling the learn module and it just wasn't as compelling to some of these larger enterprises, and now that we have more of a suite story we're starting to be competitive and win; and so yes, we are taking a little bit of business away from folks like Cornerstone."
Dan Goldsmith,1,"Josh just to add a little bit to that, this is Dan, two quick points. This is -- globally we're seeing some success in competition, as I work with the sales teams across the globe; we've successfully competed and won against the landscape of competitors out there, big and small, and that just gives us more data points to build into our pattern recognition, as well as accelerate our confidence as we go into different areas throughout the market. Additionally, what's really resonating with prospects is the vision long-term, so you can think of -- we move from an LMS focus to a suite focus. Now as we articulate that longer term vision, it's resonating in many areas of the market and as Josh mentioned earlier in the call, we see number of wins that are not only adopting some of the Bridge suite now but are extremely excited about the vision of where we're going to with the Bridge long-term."
Corey Greendale,1,"Dan, I think your last sentence in your script was about costs savings in some areas and reinvesting in others; philosophically as you get into the CEO role, how do you think about the balance between growth and profitability? Do you think about things like rule authority [ph]? Do you emphasize growth or just kind of set expectations for how you think about those things?"
Dan Goldsmith,1,"I think about growth. We have a lot of TAM to go after, both in corporate, obviously a large TAM and we have extended opportunities for expanding TAM in the edgy spaces. Well, in fact, the company I came from, Viva Systems, we doubled our TAM of our initial product where we achieved a large market penetration and you can do that through movements both, with add-on products, as well as extended larger products. So that's a recipe that we'll be applying here, as well as you can see that -- that happened overtime. I don't think much about sort of the rule authority [ph] and some of this financial metrics but we're absolutely focused on growth of the company, both in terms of the coming years, as well as long-term and setting us up for that growth."
Josh Coates,1,"But Corey, you shouldn't worry because I think a lot about profitability."
Operator,1,We'll now hear from Brian Essex with Morgan Stanley.
Brian Essex,1,"I was wondering Steve, can you talk about the renewal environment; I think you touched on it really briefly but as you kind of, finish off 2018 and you see some initial indications maybe of deals coming on in 2019 -- any thoughts on how robust that market might be considering what we've seen for deceleration and billings this year versus last?"
Steven Kaminsky,1,So I want to make sure I'm answering your question; you're talking about renewals with respect to Canvas-to-Canvas or you're talking about what might come up in the Blackboard world that we may convert?
Brian Essex,1,"Just renewals in the industry; so I think if you've had -- we've had prior conversations where some of the reason for the decel this year was little bit late renewals in the market but I think things were looking up for 2019. I was just looking for maybe a refresh on some of those comments and what you're seeing now? And then, what you might expect for Bridge versus Canvas contribution for 2018?"
Steven Kaminsky,1,"So for renewals what we've seen specifically this year is fewer large deals in the multi-hundred thousand dollar range than we've seen in previous years. It's a little still too early to talk about 2019, we'll be doing that in a few months but we have seen that and when I referenced earlier that it didn't look like we're going to grow domestic Canvas by much of it all, that's what I was really referring to, that's the key driver there. Bridge is still on-track to do -- we've been talking about 15% to 20% of new bookings for this year, and again, we'll have more to report on next quarter but so far it looks like it's on-track."
Brian Essex,1,"And competitively, I mean you mentioned Blackboard; any sense of their presence in the market, what percentage of deals do you see them competing in versus Moodle and others, particularly as we've kind of finish-off this year?"
Dan Goldsmith,1,"We still see Blackboard quite a bit within the market, especially in higher red [ph] when we go outside of the U.S. or into the K-12 market, it's obviously bit of a different dynamic. Our win rates remain very strong and the motions around competing with Blackboard or frankly, any of the competitors in the market or so working for us, we're doing a lot in the sales area for edges in the U.S. is really figuring out how can we sort of make the market move and accelerate little bit more by applying sort of different types of pressure and different approaches; so that's obviously in the planning phase right now and we're starting to institute some of those mechanisms. Also, you know, when you talk about Blackboard in terms of their activity in the market and you talk about things like Ultra, we don't really see that doing anything one way or another; we don't see a lot of companies oriented towards moving towards Ultra, we don't see it creating a lot of tailwinds either. So it's really sort of a non-factor at this point."
Operator,1,Terry Tillman with SunTrust Robinson Humphrey has our next question.
Terry Tillman,1,"First, congrats Dan. Josh, are you still -- this isn't actually part of my quota of questions but Josh, are you still going to get on these earnings calls and hear our amazing questions going forward after December?"
Josh Coates,1,"Well, only if you keep calling in. Thank you."
Terry Tillman,1,"So the first question, maybe Dan if you could take this. I'm curious about the Bridge and the corporate business; as we go into '19, a couple of new products, could you level that for us in terms of how meaningful these new products could be? Are these strategic products or they're kind of smaller, kind of modules or just trying to understand how much they can move the needle and how to think about their impact in '19?"
Dan Goldsmith,1,"I would say they are definitely strategic products, the products we're going to introduce wide significant momentum, both in terms of the markets that they are addressing individually, as well as expanding the suite story. But they do play as a component of the Bridge suite capability, I mean that's the story that's resonating, it's resonating with the product or with the prospects and we're seeing a lot of momentum in that direction; so we're continuing with that strategy as we build into the expanded Bridge suite story."
Steven Kaminsky,1,"Just one thing to add to that; when you're buying the products you will be buying them -- do you want this or do you want these three things or these five things put together. When you're using the product, you're not going to know the difference, it's about -- it's very focused on the employee and the engagement of the employee and what they're trying to do in the moment that's natural to their day as opposed to I need to go into the learning management module, or no, I need to skip over into the career management module, you won't realize where you are in this suite, you'll just know you're doing what you need to do."
Terry Tillman,1,"And I guess -- since you're talking there Steve, maybe my second and final question is just related to the edgy business; talking about the activity this year, maybe not as robust as you thought, was that related to higher add in the U.S. and K-12 versus more or just the higher add? And have you had enough time to think about it in terms of -- I assume every year there is a certain amount of business up for grabs and maybe this year it was actually less renewals than you thought; just any more commentary on your comments earlier? Thank you."
Steven Kaminsky,1,"Very briefly, primarily higher red [ph] and that's exactly what the issue is, that -- there were just less deals that came up. Our win rates are strong and very, very consistent as they've been over the past several years. I think the folks are doing the channel checks on the outside are seeing the same thing; so the business is still strong, everything is good on our end, but when there is less field to chase there is only so much you can do with that."
Operator,1,We'll now hear from Justin Furby with William Blair.
Unidentified Analyst,1,"This is actually Vinay [ph] on for Justin, thanks for taking on my questions. Dan, congrats on the new role. At Analyst Day you talked about sort of flushing out the partner ecosystem; I guess as you think to 2019, any additional color or thoughts there? And could you give us an update on sort of efficiency for Bridge from a cac-ratio [ph] perspective or sales productivity perspective? Thanks."
Dan Goldsmith,1,"This is Dan, I'll talk about -- well, Steve, do you want to address the Cac [ph] first real quick?"
Steven Kaminsky,1,"Sure, we'll go in reverse order. So we've never really disclosed what the Cac [ph] is for Bridge and that's the same position that we're taking today, it is the highest of all the Cac's [ph] and it is the place where we might most likely invest in the future. We're fully staffed for the domestic Canvas business as we think about international, that's a region by region story in terms of where do we grow but Bridge has by far the biggest opportunity for growing the sales expense envelope, sales and marketing, but -- so that's really all we can say about it."
Dan Goldsmith,1,"So now let me talk about the partner story; as we mentioned previously, we've had a very robust partner ecosystem and partner network as part of our Canvas business and we're building that on the Bridge side of the business as well. We'll continue to invest in and have a highly capable sort of partner network in our Canvas business and we're exploring and expanding actively our sort of partner network on Bridge and on the corporate side, and that takes a number of forms. It takes a number of services partners which sort of accelerates and enables us to drive more adoption in the market with typical services types of partners. And then as we look at different strategic markets or used cases like sales enablement used case for example, or an industry segment we might be focusing on. We're finding a lot of great partner opportunities where we might have training content developers or other types of services partners that worked very well with the model we have for Bridge delivered through the cloud and sort of the expansion capabilities.
So we're going to continue to explore that and expand that through the end of this year and obviously, through 2019 and beyond as well."
Operator,1,Next we'll hear from Rishi [ph] with DA Davidson.
Unidentified Analyst,1,"Josh, congrats on all you've done with Instructure over the past 10 years and Dan, congrats to you as well, very much look forward to working with you. Two Bridge related questions; first, Josh, in your prepared remarks you talked about Bridge with some compliance used cases which little bit surprised me. Can you maybe dive a little bit more into -- is that going to be a growing used case with Bridge beyond that kind of talent management that you've talked about before? And then I've got a follow-up."
Josh Coates,1,"Well, with Bridge Learn we've done a lot of compliance work with our customers, that's a common used case for the Learn module. So there is no particular industry specific features Bridge has for compliance but it works generally for most compliance situation, so that's something we've been doing since really -- the early stage of Bridge."
Unidentified Analyst,1,"On the international front for Bridge, Josh, you talked a lot about Bridge and Cornerstone replacements domestically. What is the landscape tend to look like internationally? Is it more greenfield? Is it kind of smaller or home grown competitors? How should we be thinking about when you're gaining international traction, is it replacement as a greenfield; what does the dynamic look like?"
Josh Coates,1,I'll have Dan answer that one.
Dan Goldsmith,1,"Actually this is one of the areas I'm very excited about. I've made a number of trips already in my timing as instructor to Europe, and also down in Australia had the chance to talk to a number of customers of Bride, as well as prospects that are becoming customers. So the nice thing about the corporate space is, there is a lot more commonality across the globe, so -- whereas in education you have to really go to sort of individual country by country, market by market and figure out sort of the localization in that market and the selling motion. The nice thing about Bridge and corporate is, you can engage at a multi-national level for a global program, a regional level or local level with market, and the selling motions tend to be relatively similar. Now we're just beginning our story with Bridge, we're still in very early stages, but what we're already seeing is some great uptake and some amazing stories and customer results in Europe, in Asia Pac, we'll see more coming through Latin America as well moving forward.
The trick for us in Bridge which is universal in our geographies is to drive more of our enterprise sized business and I look at that through two lenses. One, are we getting into larger organizations even if it's just with a starter project or in one division of the organization. And then two, are we able to sort of sell the Bridge story and transact in larger transactions. Underneath that it's really around building the sales teams and building the sales competencies and motions but the uniformity of the business and with selling patterns for corporate across the globe will help us in that market."
Operator,1,[Operator Instructions] We'll now take a follow-up from Brian Essex with Morgan Stanley.
Brian Essex,1,"I just wanted to follow-up to some of the Bridge commentary. Again, I think we'd had a conversation previously about some of the employee engagement and satisfaction components of the enterprise space, and I was wondering if that's any more meaningful now? And is that -- I guess how do we gauge the demand side for the enterprise market and how meaningful that might be?"
Josh Coates,1,"Gauging that is a little bit harder to measure. I think what we see as we interact with more and more prospects and customers, and we look at larger sized organizations and frankly, as we grow our teams and we bring in more pattern recognition for enterprise deals; what we're seeing as we expected is and even greater need for organizations to be managing their employees, engaging their employees and driving that employee engagement. That's driven by lot of business factors; attracting talent, retaining talent, developing talent, keeping people as productive as possible within the organizations; and what we see over and over again with large organizations is an even harder prospect because you have a more distributed organization and it's harder for organizations to stay in touch with their people.
So we believe that the current story for Bridge and Bridge suite obviously helps to address that agenda and that priority. And then two, as we introduced the new products within the Bridge suite, it's going to continue to extend the capabilities for organizations going to that space. What you're seeing Brian though and what we're seeing is for large organizations, it's just slower for them to move, it takes more time for them to make decisions, there is more people involved and so as we invest in up level, our sales organization, we're going to get better and better at doing that. What's nice is when we get to that dialogue around employee engagement, organizations are very receptive and we find that that's the best opportunity for us to compete well."
Operator,1,"That will conclude today's question-and-answer session. I would now turn the conference call over to Josh Coates, CEO; for any additional or closing remarks."
Josh Coates,1,"Thanks everyone for joining the call. As I mentioned in my prepared remarks, I'm excited for the future of Instructure as we focus on the continued growth of Canvas, the expansion of Bridge and international execution. I have great confidence in Dan's ability to propel the company forward to our next phase of growth. Thanks so much, and we'll talk to you next time."
Operator,1,That does conclude today's conference call. Thank you for your participation. You may now disconnect.
